id_membro;Nivel_Senioridade;Avaliacao_Tecnica;Avaliacao_Comportamental;Engajamento_PIGs;Avaliacao_Tecnica_float;Avaliacao_Comportamental_float;Score_Desempenho;Status_Membro
1;Júnior;7,5;8,1;0.9;7.5;8.1;7.8;Em Destaque
2;Pleno;8,2;7,5;0.75;8.2;7.5;7.85;Padrão
3;Sênior;9,1;9,5;1.0;9.1;9.5;9.3;Em Destaque
4;Pleno;6,5;7,0;0.8;6.5;7.0;6.75;Padrão
5;Pleno;7,8;8,8;0.8156118143459915;7.8;8.8;8.3;Em Destaque
6;Pleno;8,0;6,5;0.7;8.0;6.5;7.25;Padrão
7;Pleno;5,5;6,0;0.5;5.5;6.0;5.75;Padrão
8;Pleno;9,0;9,2;0.95;9.0;9.2;9.1;Em Destaque
9;Sênior;8,8;8,5;0.85;8.8;8.5;8.65;Em Destaque
10;Pleno;7,1;7,3;0.9;7.1;7.3;7.199999999999999;Em Destaque
11;Pleno;6,9;7,8;0.75;6.9;7.8;7.35;Padrão
12;Júnior;7,3;7,7;0.8;7.3;7.7;7.5;Em Destaque
13;Pleno;7,9;8,2;0.8156118143459915;7.9;8.2;8.05;Em Destaque
14;Sênior;9,5;9,0;1.0;9.5;9.0;9.25;Em Destaque
15;Júnior;6,8;7,1;0.85;6.8;7.1;6.949999999999999;Padrão
16;Pleno;8,1;8,5;0.9;8.1;8.5;8.3;Em Destaque
17;Pleno;7,7;7,0;0.7;7.7;7.0;7.35;Padrão
18;Pleno;6,0;6,2;0.5;6.0;6.2;6.1;Padrão
19;Júnior;8,9;9,0;0.95;8.9;9.0;8.95;Em Destaque
20;Sênior;9,2;8,8;0.85;9.2;8.8;9.0;Em Destaque
21;Júnior;7,4;7,6;0.9;7.4;7.6;7.5;Em Destaque
22;Pleno;7,0;8,0;0.75;7.0;8.0;7.5;Padrão
23;Júnior;7,6;7,9;0.8;7.6;7.9;7.75;Em Destaque
24;Pleno;8,3;7,9;0.75;8.3;7.9;8.100000000000001;Padrão
25;Sênior;9,3;9,3;1.0;9.3;9.3;9.3;Em Destaque
26;Júnior;6,7;7,2;0.85;6.7;7.2;6.95;Padrão
27;Pleno;8,4;8,7;0.9;8.4;8.7;8.55;Em Destaque
28;Pleno;7,9;7,3;0.7;7.9;7.3;7.6;Padrão
29;Pleno;6,2;6,4;0.8156118143459915;6.2;6.4;6.300000000000001;Padrão
30;Júnior;8,8;9,1;0.95;8.8;9.1;8.95;Em Destaque
31;Sênior;9,0;8,7;0.85;9.0;8.7;8.85;Em Destaque
32;Júnior;7,2;7,5;0.9;7.2;7.5;7.35;Em Destaque
33;Pleno;7,1;8,1;0.75;7.1;8.1;7.6;Padrão
34;Júnior;8,5;8,0;0.9;8.5;8.0;8.25;Em Destaque
35;Pleno;7,8;7,2;0.75;7.8;7.2;7.5;Padrão
36;Sênior;9,8;9,7;1.0;9.8;9.7;9.75;Em Destaque
37;Júnior;6,3;6,8;0.8;6.3;6.8;6.55;Padrão
38;Pleno;8,0;8,9;0.8156118143459915;8.0;8.9;8.45;Em Destaque
39;Pleno;8,2;6,7;0.7;8.2;6.7;7.449999999999999;Padrão
40;Pleno;5,8;6,1;0.5;5.8;6.1;5.949999999999999;Padrão
41;Júnior;9,2;9,3;0.95;9.2;9.3;9.25;Em Destaque
42;Sênior;8,7;8,6;0.85;8.7;8.6;8.649999999999999;Em Destaque
43;Júnior;7,6;7,4;0.9;7.6;7.4;7.5;Em Destaque
44;Pleno;7,3;7,9;0.75;7.3;7.9;7.6;Padrão
45;Júnior;7,1;7,5;0.8;7.1;7.5;7.3;Em Destaque
46;Pleno;8,4;7,9;0.75;8.4;7.9;8.15;Padrão
47;Sênior;9,6;9,1;1.0;9.6;9.1;9.35;Em Destaque
48;Júnior;6,9;7,0;0.85;6.9;7.0;6.95;Padrão
49;Pleno;8,3;8,6;0.9;8.3;8.6;8.45;Em Destaque
50;Pleno;7,8;7,1;0.7;7.8;7.1;7.449999999999999;Padrão
51;Pleno;6,1;6,3;0.8156118143459915;6.1;6.3;6.199999999999999;Padrão
52;Júnior;8,7;9,2;0.95;8.7;9.2;8.95;Em Destaque
53;Sênior;9,1;8,9;0.85;9.1;8.9;9.0;Em Destaque
54;Júnior;7,5;7,7;0.9;7.5;7.7;7.6;Em Destaque
55;Pleno;7,2;8,2;0.75;7.2;8.2;7.699999999999999;Padrão
56;Júnior;7,4;7,8;0.8;7.4;7.8;7.6;Em Destaque
57;Pleno;8,1;7,4;0.75;8.1;7.4;7.75;Padrão
58;Sênior;9,4;9,2;1.0;9.4;9.2;9.3;Em Destaque
59;Júnior;6,6;7,3;0.85;6.6;7.3;6.949999999999999;Padrão
60;Pleno;8,2;8,8;0.9;8.2;8.8;8.5;Em Destaque
61;Pleno;8,1;6,8;0.7;8.1;6.8;7.449999999999999;Padrão
62;Pleno;5,9;6,5;0.5;5.9;6.5;6.2;Padrão
63;Júnior;9,1;9,4;0.95;9.1;9.4;9.25;Em Destaque
64;Sênior;8,9;8,8;0.85;8.9;8.8;8.850000000000001;Em Destaque
65;Júnior;7,3;7,8;0.9;7.3;7.8;7.55;Em Destaque
66;Pleno;7,4;8,3;0.75;7.4;8.3;7.8500000000000005;Padrão
67;Júnior;7,2;7,6;0.8;7.2;7.6;7.4;Em Destaque
68;Pleno;8,5;7,6;0.75;8.5;7.6;8.05;Padrão
69;Sênior;9,7;9,4;1.0;9.7;9.4;9.55;Em Destaque
70;Júnior;6,4;6,9;0.8;6.4;6.9;6.65;Padrão
71;Pleno;7,9;8,7;0.8156118143459915;7.9;8.7;8.3;Em Destaque
72;Pleno;8,3;6,9;0.7;8.3;6.9;7.6000000000000005;Padrão
73;Pleno;5,7;6,0;0.5;5.7;6.0;5.85;Padrão
74;Júnior;9,3;9,5;0.95;9.3;9.5;9.4;Em Destaque
75;Sênior;8,6;8,7;0.85;8.6;8.7;8.649999999999999;Em Destaque
76;Júnior;7,7;7,5;0.9;7.7;7.5;7.6;Em Destaque
77;Pleno;7,5;8,0;0.75;7.5;8.0;7.75;Padrão
78;Júnior;7,0;7,4;0.8;7.0;7.4;7.2;Em Destaque
79;Pleno;8,2;7,1;0.75;8.2;7.1;7.6499999999999995;Padrão
